SECONDS,prefix_cache_block_evictions_cpu
1746681708.5960102,0.0
1746681708.6492183,0.0
1746681708.689922,0.0
1746681708.7292323,0.0
1746681708.7685359,0.0
1746681708.8179812,0.0
1746681708.8631303,0.0
1746681708.907402,0.0
1746681708.9570765,0.0
1746681709.00213,0.0
1746681709.0541942,0.0
1746681709.1005638,0.0
1746681709.1426423,0.0
1746681709.1930556,0.0
1746681709.2419813,0.0
1746681709.2971394,0.0
1746681709.3463364,0.0
1746681709.389992,0.0
1746681709.470559,0.0
1746681709.5302796,0.0
1746681709.5730267,0.0
1746681709.6227305,0.0
1746681709.6654954,0.0
1746681709.7044022,0.0
1746681709.7538533,0.0
1746681709.798449,0.0
1746681709.843028,0.0
1746681709.8938355,0.0
1746681709.9498487,0.0
1746681709.9977975,0.0
1746681710.041799,0.0
1746681710.0897923,0.0
1746681710.1490192,0.0
1746681710.194121,0.0
1746681710.250065,0.0
1746681710.2970436,0.0
1746681710.3392272,0.0
1746681710.38357,0.0
1746681710.4330268,0.0
1746681710.4819186,0.0
1746681710.5371165,0.0
1746681710.6022406,0.0
1746681710.636712,0.0
1746681710.8941863,0.0
1746681710.9424608,0.0
1746681710.9966602,0.0
1746681711.0421627,0.0
1746681711.102352,0.0
1746681711.1590257,0.0
1746681711.2191699,0.0
1746681711.268357,0.0
1746681711.3268292,0.0
1746681711.373999,0.0
1746681711.4381301,0.0
1746681711.4863102,0.0
1746681711.5494876,0.0
1746681711.6064165,0.0
1746681711.6547537,0.0
1746681711.7105968,0.0
1746681711.7625487,0.0
1746681711.8053794,0.0
1746681711.8584514,0.0
1746681711.9063232,0.0
1746681711.9546013,0.0
1746681712.0103323,0.0
1746681712.058643,0.0
1746681712.1033602,0.0
1746681712.1504126,0.0
1746681712.198299,0.0
1746681712.247272,0.0
1746681712.2949176,0.0
1746681712.3540442,0.0
1746681712.4012527,0.0
1746681712.4546778,0.0
1746681712.4985979,0.0
1746681712.5472639,0.0
1746681712.6062279,0.0
1746681712.6570787,0.0
1746681712.7013464,0.0
1746681712.7652187,0.0
1746681712.8181288,0.0
1746681712.8750803,0.0
1746681712.9233646,0.0
1746681712.9853177,0.0
1746681713.0098577,0.0
1746681713.031952,0.0
1746681713.0558274,0.0
1746681713.0798428,0.0
1746681713.11383,0.0
1746681713.1377175,0.0
1746681713.1597533,0.0
1746681713.180005,0.0
1746681713.2038376,0.0
1746681713.2280965,0.0
1746681713.2497768,0.0
1746681713.2736106,0.0
1746681713.295453,0.0
1746681713.3237479,0.0
1746681713.3429902,0.0
1746681713.3736236,0.0
1746681713.4019756,0.0
1746681713.4234278,0.0
1746681713.440033,0.0
1746681713.4567418,0.0
1746681713.4858387,0.0
1746681713.5097542,0.0
1746681713.5311346,0.0
1746681713.5579264,0.0
1746681713.5792391,0.0
1746681713.5991879,0.0
1746681713.6220853,0.0
1746681713.6465394,0.0
1746681713.6664684,0.0
1746681713.6863875,0.0
1746681713.706191,0.0
1746681713.7263122,0.0
1746681713.7463138,0.0
1746681713.797917,0.0
1746681713.8423274,0.0
1746681713.882349,0.0
1746681713.9297721,0.0
1746681713.975157,0.0
1746681714.0278149,0.0
1746681714.0699325,0.0
1746681714.1163409,0.0
1746681714.1646876,0.0
1746681714.2098835,0.0
1746681714.2579584,0.0
1746681714.3139796,0.0
1746681714.36662,0.0
1746681714.411347,0.0
1746681714.4620774,0.0
1746681714.5077183,0.0
1746681714.5540304,0.0
1746681714.600478,0.0
1746681714.6528542,0.0
1746681714.7020614,0.0
1746681714.7501116,0.0
1746681714.8003008,0.0
1746681714.8543074,0.0
1746681714.9037218,0.0
1746681714.9469728,0.0
1746681714.9942698,0.0
1746681715.050457,0.0
1746681715.1013412,0.0
1746681715.1693199,0.0
1746681715.2127435,0.0
1746681715.261173,0.0
1746681715.3063467,0.0
1746681715.3543472,0.0
1746681715.4028056,0.0
1746681715.4534645,0.0
1746681715.498808,0.0
1746681715.5479326,0.0
1746681715.5969985,0.0
1746681715.6477423,0.0
1746681715.7000237,0.0
1746681715.750226,0.0
1746681715.8074043,0.0
1746681715.8650658,0.0
1746681715.9142935,0.0
1746681715.9694753,0.0
1746681716.0334136,0.0
1746681716.0903037,0.0
1746681716.142653,0.0
1746681716.1915202,0.0
1746681716.247347,0.0
1746681716.299312,0.0
1746681716.3485496,0.0
1746681716.4067924,0.0
1746681716.4809585,0.0
1746681716.5413444,0.0
1746681716.5954444,0.0
1746681716.6503127,0.0
1746681716.7190483,0.0
1746681716.778417,0.0
1746681716.8360872,0.0
1746681716.8926353,0.0
1746681716.950557,0.0
1746681716.9984157,0.0
1746681717.066655,0.0
1746681717.118402,0.0
1746681717.174507,0.0
1746681717.2376015,0.0
1746681717.2865133,0.0
1746681717.35244,0.0
1746681717.4148178,0.0
1746681717.4707792,0.0
1746681717.5392694,0.0
1746681717.6109118,0.0
1746681717.6633976,0.0
1746681717.7309525,0.0
1746681717.7818234,0.0
1746681717.8352175,0.0
1746681717.8866677,0.0
1746681717.942373,0.0
1746681717.9931765,0.0
1746681718.046768,0.0
1746681718.0947819,0.0
1746681718.149681,0.0
1746681718.206402,0.0
1746681718.258592,0.0
1746681718.3066592,0.0
1746681718.362198,0.0
1746681718.4143107,0.0
1746681718.4800155,0.0
1746681718.5359573,0.0
1746681718.5843601,0.0
1746681718.6426916,0.0
1746681718.6943173,0.0
1746681718.758675,0.0
1746681718.825689,0.0
1746681718.8856583,0.0
